,sex,age_cat,race,juv_crime,priors_count,c_charge_degree,score_text,v_score_text,two_year_recid
827,2,1,1,1,1,1,2,2,1
828,1,3,1,1,7,2,3,3,1
829,2,1,1,1,2,2,2,2,1
830,2,1,2,1,9,1,1,1,2
831,2,3,1,1,2,2,3,3,2
833,2,1,1,1,5,2,2,2,2
834,1,1,1,1,4,1,2,2,1
835,2,3,1,1,3,1,3,3,2
836,2,1,2,2,9,1,2,2,1
837,2,1,1,1,7,1,1,1,2
838,2,1,2,1,1,2,2,2,1
839,2,3,1,2,1,1,1,1,2
840,1,3,1,1,1,2,2,2,1
842,2,1,1,1,1,2,2,2,1
843,2,1,1,1,7,1,3,2,2
844,2,2,1,1,18,2,2,2,1
846,2,3,2,1,3,1,3,3,1
847,2,3,1,1,3,2,3,3,1
848,2,1,1,1,6,1,2,2,1
852,2,1,1,1,2,1,3,2,1
853,2,1,1,1,3,1,3,2,1
855,2,1,2,1,7,1,2,2,1
856,2,1,1,1,3,1,3,3,1
857,2,1,1,1,1,1,1,1,1
858,2,1,1,2,18,2,3,2,2
859,2,1,1,1,12,2,1,1,2
860,2,1,1,1,2,1,3,2,1
861,2,1,1,1,7,1,1,3,2
862,2,2,2,1,2,1,2,2,1
865,1,2,1,1,1,1,2,2,1
866,2,3,2,4,4,2,2,3,1
869,1,2,1,1,6,1,2,2,1
870,2,1,1,1,17,1,3,2,2
872,1,1,1,1,6,2,3,3,2
873,2,2,2,1,1,1,2,2,1
874,2,1,1,1,2,1,2,3,1
875,2,1,1,1,4,2,2,2,2
876,2,1,1,3,14,2,1,3,2
877,2,2,1,1,3,2,2,2,1
878,2,1,2,1,2,1,2,2,1
879,2,2,2,1,6,2,2,2,1
881,2,2,2,1,3,1,2,2,1
882,2,1,1,1,2,2,1,3,2
883,2,1,1,1,1,2,2,2,2
884,1,2,2,1,1,2,2,2,1
885,1,3,1,1,1,2,3,3,1
886,2,2,1,1,18,1,1,2,2
887,2,1,1,1,2,1,2,2,2
888,2,1,1,1,1,1,2,2,1
889,1,1,2,1,1,2,2,2,1
890,2,1,2,1,3,2,2,2,2
891,2,1,1,1,3,2,2,2,1
892,2,1,1,1,5,2,3,2,2
894,1,1,1,1,1,1,1,3,1
895,1,1,1,1,5,1,3,3,2
896,1,2,2,1,31,2,3,2,2
897,2,2,1,1,5,1,2,2,1
898,2,1,1,1,3,1,2,2,1
899,1,1,2,1,1,1,2,2,1
901,2,2,2,1,1,1,2,2,1
902,2,2,1,1,3,1,2,2,1
903,2,2,1,1,20,1,3,2,1
904,2,3,1,1,6,1,1,3,2
905,2,3,1,1,1,1,1,1,2
906,2,1,1,1,1,1,2,2,2
907,2,1,1,1,3,1,3,2,1
908,1,2,2,1,5,1,3,2,1
909,2,2,2,1,2,1,2,2,2
910,2,1,1,1,9,1,1,3,2
911,2,1,2,1,4,1,2,2,1
912,2,1,1,1,2,1,2,2,1
913,2,2,1,1,11,1,2,2,2
915,2,2,2,1,3,2,2,2,1
916,2,1,2,1,2,2,3,2,1
917,2,1,2,1,1,1,2,2,1
918,1,3,1,1,2,1,3,3,2
920,2,2,2,1,1,1,2,2,1
921,2,2,1,1,2,1,2,2,2
922,2,2,2,1,3,1,2,2,1
923,2,1,2,1,7,2,3,2,1
924,2,3,1,3,2,2,2,2,2
926,2,1,1,1,1,1,2,2,1
928,2,1,1,2,10,1,1,3,2
929,2,1,2,1,3,2,1,2,1
930,2,3,2,1,1,2,3,3,2
931,2,1,1,3,19,2,1,1,1
932,1,1,2,1,6,1,1,1,2
933,2,3,1,1,2,1,3,3,2
934,1,3,1,1,1,1,1,3,1
935,2,2,2,1,9,1,2,3,1
936,2,2,1,1,8,1,2,2,1
937,2,1,2,1,4,1,2,2,1
938,1,3,2,1,3,1,3,3,1
940,1,3,1,1,4,1,3,2,2
941,2,2,2,1,4,2,2,2,2
942,2,1,2,3,5,2,1,3,1
943,2,2,2,1,2,2,2,2,1
945,1,3,2,1,1,2,2,2,1
946,1,1,2,1,2,1,2,2,1
947,2,1,1,1,1,2,2,2,2
948,2,1,1,1,17,1,1,2,2
949,2,1,1,1,5,2,3,3,2
950,2,3,1,1,1,1,2,2,1
951,2,1,1,2,13,2,1,3,2
952,2,1,2,1,1,2,2,2,1
953,1,1,2,1,1,2,2,2,1
954,2,1,1,1,10,1,3,2,2
955,2,1,1,1,6,1,3,3,2
956,2,1,1,2,12,1,1,1,2
957,2,2,1,1,2,1,2,2,2
958,1,2,1,1,2,1,2,2,1
959,2,1,1,1,2,2,2,2,2
960,2,2,1,1,6,1,2,2,1
961,1,2,2,1,7,2,3,2,1
962,2,1,2,1,1,2,2,2,1
963,1,3,1,1,1,1,3,3,1
964,1,1,1,1,15,1,1,1,1
966,2,1,2,1,2,2,2,2,2
967,1,2,2,1,1,2,2,2,1
968,2,3,2,1,1,1,2,3,2
969,1,2,2,1,1,1,3,2,1
970,2,1,2,1,1,2,2,2,1
971,1,3,1,1,1,1,3,3,1
972,2,1,2,1,1,2,2,2,1
973,2,1,2,1,5,1,3,2,2
974,1,1,2,1,1,2,2,2,1
975,2,2,1,1,1,1,2,2,1
976,2,3,1,1,3,1,2,2,2
978,2,3,2,2,2,2,2,2,1
979,2,3,1,1,1,1,1,1,2
980,1,1,1,1,3,1,3,2,1
981,2,1,2,1,4,2,2,2,1
983,2,1,1,4,10,2,1,3,1
984,2,3,1,1,1,1,3,3,1
986,2,1,1,1,10,1,1,2,2
988,2,2,1,1,4,1,2,2,1
990,2,3,1,1,1,1,2,3,2
991,1,1,1,1,4,1,1,3,2
992,2,2,1,1,5,2,3,2,1
993,1,3,1,1,1,2,2,2,1
994,2,1,2,1,1,2,2,2,1
995,2,1,1,2,5,1,3,2,2
996,1,1,2,1,3,1,3,2,2
1000,1,1,2,1,12,1,1,3,2
1001,1,1,1,1,7,1,2,3,2
1003,2,2,1,1,4,1,2,2,1
1004,1,1,2,1,4,2,2,2,1
1005,2,1,2,1,3,1,2,2,2
1007,1,1,2,1,1,1,3,2,1
1008,2,3,1,1,1,2,1,1,2
1010,2,1,2,1,1,1,2,3,1
1011,1,1,2,1,2,2,2,2,1
1013,2,2,2,1,9,1,3,2,2
1014,1,1,1,1,2,1,2,2,1
1015,2,1,1,1,1,2,2,2,1
1016,2,1,2,1,1,1,2,2,2
1017,2,1,1,1,6,1,3,3,2
1018,2,1,1,1,5,1,3,3,2
1019,2,1,1,1,8,1,3,3,2
1020,2,1,2,1,1,1,2,2,1
1021,2,1,1,1,4,1,2,2,1
1022,1,1,1,1,1,2,2,2,1
1023,2,3,2,1,2,1,3,3,2
1024,2,1,1,1,2,1,1,2,2
1025,2,1,1,1,1,2,2,2,2
1026,2,1,1,2,4,1,3,2,2
1027,2,1,1,1,2,2,2,2,1
1028,2,1,2,1,1,1,2,2,1
1030,2,3,1,1,1,2,1,1,1
1031,2,2,2,1,1,2,2,2,1
1032,2,3,1,1,1,1,2,3,1
1033,1,1,1,1,3,1,1,1,2
1034,2,1,1,1,1,2,2,2,1
1035,1,1,2,1,2,2,2,2,1
1036,2,3,1,1,3,2,3,3,2
1037,2,3,1,1,1,1,1,1,1
1041,2,2,1,1,13,1,2,2,1
1042,2,1,1,1,7,2,3,2,1
1043,2,1,1,1,3,2,2,2,2
1044,2,3,2,1,5,2,1,2,1
1045,2,1,1,1,1,2,2,2,2
1046,2,1,1,4,5,1,1,1,2
1047,2,3,2,3,2,1,3,1,2
1049,1,1,2,1,1,1,2,2,2
1050,2,1,1,1,2,1,2,2,1
1052,2,1,2,1,4,2,2,2,1
1053,2,3,1,1,2,1,2,3,2
1054,2,3,2,1,1,2,1,1,2
1055,2,2,2,1,1,2,2,2,1
1056,2,2,2,1,4,1,2,2,2
1057,2,3,1,1,1,1,2,3,1
1058,2,3,1,1,1,1,3,3,1
1059,2,1,1,1,5,1,1,2,2
1060,2,2,2,1,3,1,2,2,1
1061,1,1,2,1,1,1,2,2,2
1062,2,1,2,1,10,2,3,3,2
1063,2,3,1,1,1,1,1,1,2
1065,1,2,2,1,6,2,2,2,1
1066,2,1,1,1,5,1,2,2,2
1069,1,2,2,1,2,2,2,2,1
1070,2,1,2,1,1,2,2,2,1
1071,1,1,2,1,2,2,3,2,1
1072,2,3,2,1,1,1,2,3,2
1073,2,1,1,1,1,2,2,2,1
1074,2,1,2,1,3,2,2,2,1
1075,2,3,1,1,1,1,2,2,2
1076,2,1,1,1,1,1,2,2,1
1077,2,2,2,1,5,1,2,2,1
1079,2,3,1,1,2,1,2,3,1
1080,2,3,1,1,1,2,3,3,1
1082,2,1,2,1,2,2,2,2,2
1085,2,1,2,1,1,2,2,2,1
1086,2,1,2,1,3,1,1,2,2
1087,1,1,1,1,6,1,1,3,2
1089,1,1,1,1,2,1,2,2,1
1091,2,1,1,1,3,1,3,2,1
1092,2,2,2,1,1,2,2,2,1
1093,2,1,1,1,2,1,2,2,1
1095,2,3,2,1,7,1,3,2,2
1097,2,1,1,1,1,1,2,2,1
1098,2,2,2,1,5,2,2,2,1
1099,2,2,1,1,8,1,2,2,2
1100,2,1,2,1,1,1,3,2,2
1101,2,1,2,1,8,2,1,3,2
1102,2,2,2,1,8,1,2,2,2
1103,2,1,1,1,1,2,2,2,1
1104,2,2,2,1,13,2,3,2,1
1105,2,3,1,1,1,1,1,1,2
1106,2,1,1,1,5,2,2,2,2
1107,2,1,1,1,1,2,2,2,1
1108,2,1,2,1,1,2,2,2,1
1111,1,2,2,1,6,1,3,2,1
1112,2,1,1,1,5,1,2,2,2
1113,2,1,1,1,1,1,3,2,2
1114,2,1,1,1,3,1,2,2,1
1115,2,1,2,1,3,1,2,2,1
1116,2,1,1,1,1,1,2,2,2
1117,2,1,1,1,1,2,2,2,1
1120,1,2,1,1,5,1,2,2,1
1122,1,3,2,2,2,2,2,2,1
1123,2,3,1,4,3,1,1,1,2
1124,2,1,2,1,1,1,3,2,2
1125,2,1,2,1,3,1,2,2,1
1126,2,3,1,1,1,2,3,3,1
1127,2,1,2,1,1,1,2,2,1
1128,2,3,1,1,7,1,1,1,1
1129,2,1,1,1,7,1,2,2,1
1130,2,1,1,5,16,1,1,3,2
1131,2,3,1,2,1,1,3,3,2
1133,2,1,1,1,2,1,2,2,2
1134,2,2,1,1,2,1,2,2,1
1136,2,2,1,1,9,1,3,2,2
1137,2,1,2,1,3,2,2,2,1
1138,2,1,2,1,7,1,2,2,1
1139,2,3,1,1,1,1,2,3,1
1140,2,1,1,1,3,2,1,3,1
1141,2,1,1,1,12,2,1,3,2
1143,1,3,2,1,1,2,3,2,1
1144,2,1,1,1,8,1,1,3,2
1145,2,1,1,1,2,2,3,2,1
1146,2,1,2,1,5,1,3,2,2
1147,2,1,1,1,4,2,2,2,1
1148,2,3,1,4,3,1,1,1,2
1149,2,3,1,1,2,2,3,3,2
1150,2,1,1,1,1,1,2,2,1
1151,1,3,1,1,1,2,2,3,1
1152,1,1,2,1,1,2,2,2,1
1153,2,1,1,1,2,2,2,2,1
1154,2,2,2,1,1,1,2,2,1
1155,2,2,2,1,18,1,3,2,2
1156,1,2,2,1,1,2,2,2,1
1157,1,1,1,1,2,1,2,2,1
1158,2,1,2,1,1,2,2,2,1
1159,2,1,2,1,11,1,2,2,2
1160,2,1,1,2,3,1,2,3,2
1162,2,3,1,1,1,1,3,3,2
1164,2,1,2,1,1,1,3,2,1
1165,2,3,1,4,4,1,1,1,1
1166,2,1,1,1,1,2,2,2,1
1167,2,3,1,3,3,1,1,3,2
1168,2,1,2,1,1,2,2,2,1
1169,2,1,1,1,3,1,3,2,1
1170,1,1,1,2,5,1,2,2,1
1171,2,1,2,1,2,2,3,3,2
1172,2,1,2,1,8,2,2,2,1
1173,2,1,1,1,4,1,2,2,2
1174,2,3,1,3,1,1,2,3,1
1175,2,2,2,1,3,2,2,2,2
1176,2,1,1,1,1,1,1,2,1
1179,2,3,1,2,2,2,1,1,1
1180,2,1,1,4,20,1,1,3,2
1181,1,2,2,1,2,1,2,2,1
1182,2,1,2,1,1,1,2,2,2
1183,1,1,2,1,1,1,2,2,2
1184,2,1,1,1,1,1,2,2,1
1185,1,1,1,1,15,1,1,2,2
1186,2,1,1,1,1,1,2,2,2
1187,2,1,1,1,4,1,1,3,2
1188,2,1,2,1,3,2,2,2,2
1189,1,1,1,1,3,1,2,2,1
1190,2,3,1,1,4,1,1,3,2
1192,2,2,2,1,2,1,3,2,2
1193,1,3,1,1,2,2,2,2,2
1194,2,2,2,1,3,2,2,2,1
1195,2,1,2,1,1,2,2,2,1
1196,1,1,1,1,1,2,2,2,1
1197,2,1,2,2,1,1,2,2,1
1198,2,2,1,1,1,2,2,2,2
1199,1,1,1,1,9,1,1,2,2
1201,2,1,2,1,2,1,2,2,1
1202,2,3,1,1,2,1,1,1,1
1203,2,3,1,1,2,1,3,3,1
1204,2,1,2,1,2,2,2,2,2
1205,2,1,1,1,4,1,2,2,2
1206,2,2,1,1,10,2,2,2,1
1208,2,1,1,3,21,1,1,3,2
1209,1,1,1,1,2,1,3,2,2
1210,2,1,1,1,1,2,2,2,1
1211,2,3,2,3,6,2,3,2,2
1212,2,1,2,1,2,1,2,2,2
1213,2,3,1,1,1,2,2,3,2
1214,1,1,2,1,7,1,2,2,2
1215,1,1,1,1,3,2,2,2,1
1216,2,1,1,1,9,1,3,3,2
1217,2,2,1,1,5,2,2,2,1
1218,2,2,2,1,2,1,2,2,1
1219,1,2,2,1,3,1,2,2,1
1220,1,3,1,1,1,2,3,3,1
1221,2,1,1,1,3,2,3,3,1
1222,2,2,1,1,10,1,3,3,2
1223,2,1,1,1,3,1,3,3,2
1225,2,3,1,1,6,1,3,2,2
1226,2,3,1,1,4,1,3,1,2
1227,2,1,1,1,3,1,2,2,1
1228,2,1,2,1,4,1,2,2,1
1229,1,1,1,1,2,2,2,2,1
1230,2,2,1,1,16,2,2,2,2
1231,2,2,2,1,4,2,2,2,2
1232,2,2,1,1,4,2,2,2,1
1234,1,3,2,1,2,1,3,3,1
1235,2,1,2,2,3,2,3,3,2
1236,2,3,1,3,4,1,2,3,2
1237,2,3,1,6,13,2,1,1,2
1238,2,3,2,1,4,1,1,3,2
1240,2,1,2,1,7,1,3,1,1
1241,2,1,1,1,5,1,2,2,2
1242,2,3,1,2,5,1,3,2,1
1243,1,1,2,1,8,2,3,2,1
1244,2,1,1,1,6,1,1,3,2
1245,1,2,2,1,2,1,1,2,1
1246,2,3,1,1,2,1,1,1,1
1247,2,1,1,4,7,1,1,3,2
1248,1,3,1,1,2,1,1,1,1
1249,2,1,1,4,16,1,1,1,2
1251,2,2,2,1,1,1,2,2,1
1252,1,3,2,1,1,1,3,3,2
1253,2,1,1,1,6,1,2,2,1
1254,1,2,1,1,2,1,2,2,1
1255,2,3,1,1,1,2,2,2,2
1257,1,1,2,1,6,1,3,2,1
1258,2,2,2,1,15,2,2,2,2
1260,2,1,2,2,6,2,1,1,2
1261,2,2,2,1,1,2,2,2,2
1262,2,1,1,1,3,2,3,2,1
1264,2,1,1,1,9,2,1,1,2
1265,2,1,2,1,1,2,2,2,1
1266,2,1,1,1,8,1,2,2,1
1268,2,1,1,3,13,2,1,1,2
1269,1,3,2,4,4,2,1,1,2
1270,2,1,1,1,2,1,2,2,2
1271,2,2,2,1,2,2,2,2,1
1272,2,1,2,1,1,1,2,2,1
1273,2,1,2,1,1,1,2,2,1
1274,2,3,2,1,1,1,2,2,1
1275,2,3,2,1,6,1,1,1,2
1276,2,1,2,1,5,1,3,2,2
1277,2,2,2,1,14,1,3,3,2
1278,1,1,2,1,1,2,2,2,1
1279,2,2,2,1,2,2,2,2,1
1280,2,2,2,1,12,2,3,2,1
1282,2,1,1,1,4,1,2,2,1
1284,2,2,2,1,1,2,2,2,1
1285,2,1,1,1,7,1,3,2,2
1286,2,3,2,1,1,1,3,3,2
1287,1,3,1,2,1,1,2,2,2
1288,2,1,1,1,8,2,3,3,2
1289,2,1,1,1,16,1,3,3,1
1291,2,1,1,1,13,1,1,3,1
1292,2,2,1,6,15,1,1,2,2
1294,2,1,1,9,15,1,1,3,2
1295,2,2,2,1,1,1,2,2,1
1297,2,1,1,1,5,1,3,3,2
1298,2,3,1,3,3,1,1,3,2
1300,1,1,1,1,12,1,1,3,1
1301,2,2,2,1,4,1,2,2,1
1302,1,3,1,1,3,2,3,1,2
1303,2,2,1,1,4,1,1,2,1
1304,2,1,1,1,8,2,1,1,2
1305,2,2,1,1,1,2,2,2,1
1306,2,2,2,1,1,2,2,2,1
1307,2,3,1,1,1,1,2,2,2
1308,2,3,1,1,1,2,2,3,2
1309,2,2,2,1,7,1,2,2,2
1310,1,2,2,1,3,2,2,2,2
1311,2,1,2,1,6,1,2,2,1
1312,2,2,2,1,2,1,2,2,1
1314,1,1,1,1,1,2,2,2,1
1315,2,1,2,1,3,2,2,2,1
1316,2,2,1,1,1,1,3,2,1
1317,2,3,1,1,1,2,2,3,1
1318,2,1,1,5,15,1,1,1,2
1320,2,2,1,1,25,1,3,2,2
1322,1,3,1,4,3,1,1,1,2
1323,2,1,1,1,1,2,2,2,2
1324,2,3,2,1,1,1,1,1,2
1326,2,1,1,1,4,2,2,2,1
1327,2,1,1,3,16,1,1,3,2
1328,2,1,1,2,11,1,2,2,2
1329,2,3,1,1,1,1,2,3,1
1330,2,1,2,1,3,1,3,2,2
1331,1,2,2,1,1,2,2,2,1
1332,1,2,2,1,2,1,2,2,1
1334,2,1,1,5,12,1,1,2,1
1335,2,1,1,1,3,2,2,2,1
1336,2,2,1,2,16,1,3,2,2
1337,1,3,1,1,1,1,2,2,1
1338,1,2,1,1,2,1,2,2,1
1340,1,2,2,1,2,2,2,2,1
1342,1,1,1,2,7,1,3,2,1
1343,2,1,2,2,7,1,2,2,1
1345,2,2,2,1,1,1,2,2,1
1346,2,1,2,1,1,2,2,2,2
1347,2,1,1,1,2,1,2,2,1
1348,2,1,2,1,12,1,3,2,2
1349,2,1,1,1,10,1,1,3,2
1350,2,1,2,1,2,1,2,2,1
1351,2,2,1,1,9,1,2,2,2
1352,1,3,2,1,1,1,2,3,1
1353,2,1,1,1,1,1,2,2,1
1356,2,3,1,4,9,1,1,1,2
1358,2,2,1,1,3,2,3,2,1
1359,2,1,1,1,6,1,3,2,2
1360,2,3,2,1,1,1,2,2,2
1361,2,3,1,1,1,1,1,1,2
1362,2,2,2,1,1,2,2,2,1
1363,1,2,2,1,6,2,3,2,2
1365,2,1,2,1,10,1,3,2,1
1367,2,1,1,1,1,1,3,2,1
1368,2,2,2,1,4,1,2,2,2
1369,2,2,1,1,13,1,1,3,1
1370,2,1,1,1,3,1,3,3,1
1371,2,1,1,1,7,1,3,2,1
1372,2,2,1,1,9,1,3,2,2
1374,2,1,1,3,14,1,1,2,2
1375,2,1,2,2,10,1,3,3,2
1376,2,1,1,1,1,1,2,2,1
1377,2,1,1,1,9,2,3,2,2
1378,2,1,1,1,2,1,2,2,1
1379,2,1,1,1,1,2,2,2,1
1380,2,2,2,1,1,2,2,2,1
1381,1,1,1,1,3,1,2,2,1
1382,1,1,2,1,8,2,3,2,1
1383,2,1,1,1,2,1,3,3,2
1384,1,2,2,1,1,2,2,2,2
1386,2,1,1,1,9,1,3,2,2
1387,1,1,2,1,7,1,3,2,2
1388,1,3,1,1,3,1,3,3,2
1389,2,3,2,1,1,1,3,3,1
1391,2,2,2,1,3,2,2,2,1
1392,2,2,2,1,4,1,3,2,2
1393,2,3,1,1,1,1,2,2,1
1395,1,1,1,1,8,1,3,2,2
1396,2,3,2,2,1,2,2,2,2
1397,2,1,1,1,6,2,3,2,1
1398,2,3,1,1,2,1,3,1,2
1400,2,1,1,3,22,1,3,2,2
1401,2,3,1,2,14,1,1,1,2
1402,2,1,1,2,24,1,1,3,2
1403,2,1,1,4,12,1,1,3,1
1404,2,3,1,1,2,1,2,3,1
1405,2,1,1,5,25,1,3,3,2
1406,1,3,1,1,2,1,3,2,1
1407,2,2,1,1,20,1,2,2,1
1409,2,1,2,1,1,1,2,2,1
1410,2,2,2,1,1,2,2,2,1
1411,2,1,1,1,1,2,2,2,2
1412,2,3,1,4,1,1,3,1,2
1413,2,1,1,2,7,2,3,3,1
1414,2,3,2,1,1,2,3,1,2
1415,2,2,2,1,2,1,2,2,2
1416,2,2,1,1,28,2,1,1,1
1417,1,1,1,1,1,2,2,2,1
1418,2,2,2,1,2,2,2,2,1
1419,2,3,2,1,1,1,2,3,1
1420,2,2,2,1,2,1,2,2,1
1421,2,1,1,6,25,1,1,2,1
1422,2,1,2,1,14,1,1,1,2
1423,2,2,1,1,1,1,2,2,1
1424,2,1,1,1,2,1,3,2,2
1425,2,2,1,1,2,2,2,2,1
1426,1,2,2,1,9,1,2,2,1
1427,2,3,1,1,1,1,3,3,1
1428,2,3,2,1,1,1,1,3,2
1429,1,1,2,1,3,1,1,2,2
1432,2,1,1,2,3,2,1,2,1
1433,2,1,2,1,2,2,3,2,1
1434,2,2,1,1,15,1,1,2,2
1435,2,1,2,1,1,2,2,2,1
1436,2,3,1,2,5,1,1,3,2
1437,1,1,1,1,3,1,3,2,2
1438,1,1,2,1,5,1,3,2,2
1439,2,3,2,2,3,1,3,3,1
1440,1,1,2,1,2,1,3,2,2
1441,2,3,2,2,2,1,3,3,2
1443,1,1,1,1,1,2,2,2,1
1444,2,2,2,1,2,1,2,2,1
1445,1,1,2,1,5,1,2,2,1
1446,2,3,1,1,4,1,3,3,1
1447,2,1,2,1,2,1,2,2,1
1450,2,3,1,1,4,2,3,2,2
1451,2,1,2,1,1,2,2,2,2
1452,1,1,1,1,4,1,3,2,1
1453,2,2,1,1,2,1,2,2,1
1455,2,2,1,1,7,1,2,2,1
1456,2,1,1,1,8,1,3,2,2
1457,2,1,1,1,11,1,1,1,1
1458,1,2,2,1,1,2,2,2,1
1459,2,1,1,1,1,2,2,2,2
1460,2,1,1,2,10,1,3,2,1
1461,2,2,1,1,2,1,2,2,1
1462,1,1,1,1,2,2,2,2,1
1463,2,2,2,1,1,1,2,2,1
1464,2,1,2,1,7,1,2,2,1
1465,2,2,1,1,1,1,2,2,1
1467,2,1,1,1,28,1,1,3,2
1468,2,1,1,1,4,1,2,2,1
1469,2,1,1,2,8,2,1,3,2
1470,2,1,2,1,2,1,3,2,2
1471,2,1,1,1,9,1,2,2,1
1472,2,2,1,1,1,1,2,2,2
1473,2,1,1,2,9,1,3,3,1
1474,2,2,2,1,5,1,2,2,1
1475,2,2,1,1,16,1,1,3,2
1476,2,1,2,1,8,1,3,2,2
1477,2,1,2,1,8,1,1,2,2
1478,2,3,2,4,1,2,2,2,1
1479,2,1,1,1,1,2,2,2,1
1482,2,1,2,1,1,1,2,2,1
1483,2,1,2,1,2,2,2,2,2
1484,2,2,2,1,2,1,2,2,1
1485,1,1,1,1,1,1,2,2,1
1486,2,2,1,1,5,2,2,2,1
1487,2,1,1,1,4,2,3,2,1
1488,2,3,1,1,1,1,2,3,1
1489,2,2,2,1,2,1,2,2,1
1490,2,1,2,1,3,1,2,2,1
1491,2,1,1,1,1,1,1,3,2
1492,2,3,2,1,1,1,3,2,1
1493,1,1,2,2,4,1,2,2,1
1494,2,1,1,4,8,1,1,3,2
1495,2,1,1,2,6,1,1,3,2
1496,2,3,1,3,2,1,2,2,1
1497,2,1,2,1,3,1,2,2,2
1498,2,3,2,1,3,1,3,3,1
1499,2,3,1,1,1,2,2,3,1
1500,1,1,2,1,1,2,2,2,1
1501,2,1,1,1,1,1,1,2,1
1502,2,1,1,1,2,1,2,2,1
1503,2,1,1,1,2,1,2,2,1
1504,2,2,2,1,1,2,2,2,1
1505,1,3,1,1,1,1,3,3,1
1506,2,2,2,1,1,2,2,2,1
1507,2,1,1,2,4,1,2,2,2
1508,1,1,1,1,3,2,2,2,1
1509,1,2,2,1,5,1,2,2,2
1510,2,2,1,1,1,2,2,2,1
1512,2,1,1,1,3,1,2,2,1
1513,1,2,2,1,1,1,2,2,2
1514,2,3,1,1,1,1,2,3,1
1515,2,2,1,1,4,1,3,2,1
1516,2,1,1,1,1,1,2,2,2
1517,2,1,1,2,6,2,3,3,1
1518,2,1,2,1,1,1,2,2,2
1519,2,1,2,1,5,2,2,2,1
1521,2,1,2,1,6,1,3,3,2
1522,1,1,1,1,1,1,2,2,2
1523,2,3,1,1,2,1,2,2,2
1527,2,1,1,1,5,1,3,3,2
1528,2,2,2,1,7,1,2,2,2
1531,2,2,1,1,24,1,3,3,2
1532,2,1,1,2,14,1,1,1,2
1533,2,1,1,1,10,1,1,3,2
1535,2,1,2,1,1,1,3,2,1
1536,2,2,2,1,2,2,2,2,2
1537,2,1,2,1,1,2,2,2,1
1538,2,1,1,1,8,2,3,2,1
1539,2,1,1,1,6,1,3,2,1
1541,2,2,2,1,1,2,3,2,1
1542,2,1,1,1,6,1,1,2,2
1543,1,1,2,1,1,2,1,3,1
1544,2,1,1,1,1,1,2,2,1
1545,2,1,2,3,7,2,3,2,1
1546,2,1,1,1,3,1,3,2,1
1547,2,3,1,1,4,1,3,3,2
1548,2,1,2,1,3,2,2,2,1
1549,1,1,1,1,1,2,2,2,1
1550,2,1,1,1,9,1,1,3,2
1551,2,2,2,1,3,2,2,2,2
1553,2,1,2,1,4,2,2,2,1
1554,2,3,1,1,3,2,1,1,2
1555,1,2,1,1,15,2,3,2,2
1556,2,1,2,1,10,2,3,2,2
1557,2,1,2,1,10,2,3,2,1
1558,2,1,1,1,2,2,2,2,1
1559,2,2,2,1,1,2,2,2,1
1560,2,1,1,3,20,2,1,3,2
1561,2,1,1,1,2,1,2,3,1
1562,1,1,1,1,1,1,3,2,2
1563,2,2,2,1,1,1,2,2,1
1564,2,1,2,1,1,2,2,2,1
1565,2,1,1,1,6,2,1,1,1
1566,2,1,1,6,12,1,1,1,1
1567,2,1,2,5,5,2,2,3,2
1568,2,1,1,1,1,2,2,2,2
1569,2,3,1,1,1,2,3,2,1
1570,2,1,2,1,1,2,2,2,1
1571,2,1,1,1,11,2,2,2,2
1573,2,3,1,1,1,1,2,2,1
1574,2,1,2,1,6,2,2,2,2
1575,2,1,2,1,2,1,1,3,1
1576,2,3,1,1,1,1,1,1,2
1577,2,2,2,1,1,2,2,2,1
1578,1,1,2,2,4,1,2,2,1
1580,2,3,2,1,2,1,2,2,2
1581,1,3,1,1,1,2,3,3,2
1583,2,2,1,1,5,1,2,2,1
1585,1,2,1,1,4,2,2,2,1
1586,2,3,2,4,4,2,3,3,1
1587,2,3,1,1,1,1,2,3,2
1588,2,1,2,1,1,2,2,2,1
1590,2,2,2,1,11,1,3,3,2
1591,2,1,2,1,2,1,2,2,2
1592,2,3,2,1,1,2,1,1,2
1594,2,1,1,1,1,1,1,3,1
1595,2,1,1,1,20,1,1,1,2
1596,1,1,1,1,2,2,2,2,2
1597,2,1,1,1,7,1,3,3,1
1598,2,1,1,2,3,1,1,1,1
1599,2,1,2,1,12,1,1,2,2
1600,2,1,1,1,1,1,2,2,1
1601,2,1,1,1,2,1,3,3,2
1603,2,1,1,1,8,1,2,2,2
1604,2,3,1,1,3,1,2,3,2
1605,2,1,2,1,1,1,2,2,1
1607,2,3,1,1,3,2,3,3,2
1608,2,3,1,2,1,1,1,1,2
1609,2,1,2,4,16,1,1,3,2
1610,2,1,1,1,3,2,2,2,2
1611,2,1,1,1,11,1,1,3,2
1612,2,1,2,1,1,2,2,2,1
1613,2,2,2,1,9,1,2,2,1
1614,2,1,1,1,15,1,1,3,2
1615,2,1,1,2,14,1,1,1,2
1616,2,1,1,1,10,1,3,3,2
1617,2,1,1,1,1,2,2,2,1
1619,2,2,1,1,2,1,2,2,1
1620,2,1,1,1,5,1,1,3,1
1621,2,1,2,1,2,1,3,2,2
1622,1,1,2,1,1,2,2,2,1
1623,2,3,1,1,4,2,3,3,1
1624,2,1,1,1,7,1,1,1,2
